,Address,Latitude,Longitude,유형
0,서울특별시 영등포구 여의도동 14-11,37.52926853874411,126.92081764446988,보도와 차도가 구분된 도로의 차도
1,서울특별시 관악구 봉천동 927-8,37.48207951845339,126.94202182801862,"횡단보도, 산책로 등"
2,서울특별시 영등포구 여의도동 14-11,37.52926853874411,126.92081764446988,보도와 차도가 구분된 도로의 차도
3,서울특별시 중랑구 신내동 522-13,37.602866755859104,127.0959253191848,보도 중앙
4,서울특별시 영등포구 양평동2가 37-4,37.523790200812385,126.88326238462088,보도와 차도가 구분된 도로의 차도
5,서울특별시 송파구 장지동 841-8,37.47743580541025,127.12714700249856,보도 중앙
6,서울특별시 송파구 송파동 69,37.5070257078829,127.10570620246139,기타
7,서울특별시 용산구 용문동 9-2,37.536794309861534,126.9607465721152,"횡단보도, 산책로 등"
8,서울특별시 송파구 송파동 15-5,37.50698302961232,127.1060421802754,기타
9,서울특별시 영등포구 여의도동 1-5,37.528266205472505,126.92150287800735,"버스정류장, 택시 승강장"
10,서울특별시 중랑구 신내동 407-26,37.60746330395492,127.096539341824,보도 중앙
11,서울특별시 마포구 망원동 452-2,37.55636103096879,126.89757036584906,보도와 차도가 구분된 도로의 차도
12,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,보도와 차도가 구분된 도로의 차도
13,서울특별시 용산구 한강로2가 2-396,37.530382321885796,126.96765343770913,"횡단보도, 산책로 등"
14,서울특별시 중랑구 망우동 491-37,37.59818314374911,127.09644456551695,보도 중앙
15,서울특별시 성동구 용답동 180,37.56156724615923,127.05536043220162,보도 중앙
16,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,"버스정류장, 택시 승강장"
17,서울특별시 송파구 송파동 1-8,37.503011510682214,127.109270729082,기타
18,서울특별시 용산구 한강로2가 422-1,37.5299356481942,126.967560492417,"버스정류장, 택시 승강장"
19,서울특별시 용산구 도원동 23,37.538452493610485,126.95535892343824,보도와 차도가 구분된 도로의 차도
20,서울특별시 마포구 망원동 452-4,37.55645606973194,126.89880744715106,보도와 차도가 구분된 도로의 차도
21,서울특별시 중랑구 망우동 534-21,37.59455670444614,127.093227536098,보도와 차도가 구분된 도로의 차도
22,서울특별시 중랑구 망우동 525-16,37.590193158982814,127.09491374388983,보도 중앙
23,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,보도와 차도가 구분된 도로의 차도
24,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,보도와 차도가 구분된 도로의 차도
25,서울특별시 송파구 송파동 97-31,37.50134384220134,127.11124608888309,기타
26,서울특별시 중랑구 면목동 483-22,37.58840729522861,127.0880670436087,보도 중앙
27,서울특별시 강남구 대치동 1012-111,37.50605623815822,127.05923163163997,"횡단보도, 산책로 등"
28,서울특별시 강남구 대치동 1012-111,37.50605623815822,127.05923163163997,"횡단보도, 산책로 등"
29,서울특별시 강남구 대치동 943-8,37.50660294717429,127.05870793090823,"횡단보도, 산책로 등"
30,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,"횡단보도, 산책로 등"
31,서울특별시 송파구 장지동 893,37.477926024651,127.14235065409378,보도 중앙
32,서울특별시 중랑구 면목동 507-37,37.581727438037085,127.09349537450836,보도 중앙
33,서울특별시 용산구 도원동 21,37.53713323621702,126.95462344565247,보도와 차도가 구분된 도로의 차도
34,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,보도와 차도가 구분된 도로의 차도
35,서울특별시 강서구 가양동 1475-1,37.56708003327667,126.85115518318403,자전거 도로
36,서울특별시 성동구 행당동 188-1,37.561073796997476,127.03597856160633,보도와 차도가 구분된 도로의 차도
37,서울특별시 송파구 장지동 917-9,37.476232099172805,127.14126362206112,보도 중앙
38,서울특별시 강서구 가양동 1458-15,37.569129736911194,126.84839031736104,자전거 도로
39,서울특별시 용산구 신창동 56-1,37.53567033375714,126.95470245471463,"횡단보도, 산책로 등"
40,서울특별시 동작구 본동 492,37.51014108460944,126.95012591792292,보도와 차도가 구분된 도로의 차도
41,서울특별시 강서구 가양동 1458-13,37.57058961312528,126.84319469147783,자전거 도로
42,서울특별시 강서구 가양동 1460,37.571164289215986,126.84480368072565,자전거 도로
43,서울특별시 중랑구 망우동 534-11,37.5949958611579,127.09992499027496,보도 중앙
44,서울특별시 강남구 대치동 891-14,37.50582563678664,127.05509809122718,보도와 차도가 구분된 도로의 차도
45,서울특별시 중랑구 면목동 662,37.579666519870926,127.08691723701699,보도 중앙
46,서울특별시 성동구 행당동 168-151,37.56089742770305,127.03838233026207,보도와 차도가 구분된 도로의 차도
47,서울특별시 동작구 상도1동 508-1,37.50734524079073,126.95173341985856,"횡단보도, 산책로 등"
48,서울특별시 강서구 가양동 26-2,37.5675735542541,126.85059760560034,자전거 도로
49,서울특별시 도봉구 방학동 716-12,37.666361619751655,127.04457061396454,"횡단보도, 산책로 등"
50,서울특별시 성동구 행당동 168-151,37.56089742770305,127.03838233026207,지하철역 진출입로 및 주변
51,서울특별시 강동구 성내동 39-4,37.535051666496834,127.12472387529915,보도 중앙
52,서울특별시 용산구 한강로3가 23-1,37.5320932552662,126.96364890437061,"횡단보도, 산책로 등"
53,서울특별시 중랑구 면목동 1326-53,37.57811928859723,127.0920142557496,"횡단보도, 산책로 등"
54,서울특별시 중랑구 망우동 534-23,37.595165616339685,127.09791889642545,"버스정류장, 택시 승강장"
55,서울특별시 송파구 장지동 917-4,37.47992493695236,127.14439616842083,보도 중앙
56,서울특별시 강서구 가양동 1475-2,37.565941576189786,126.85253142946826,자전거 도로
57,서울특별시 송파구 장지동 917-5,37.478093930085386,127.14527547957525,보도 중앙
58,서울특별시 광진구 중곡동 31-1,37.56406878684335,127.08354200571713,보도 중앙
59,서울특별시 강서구 가양동 1475-3,37.56442892602944,126.85499527893495,자전거 도로
60,서울특별시 강서구 가양동 1475-3,37.56442892602944,126.85499527893495,자전거 도로
61,서울특별시 강서구 가양동 1475-3,37.56442892602944,126.85499527893495,자전거 도로
62,서울특별시 성동구 성수동1가 694-3,37.54392105441998,127.04949627946361,보도와 차도가 구분된 도로의 차도
63,서울특별시 강남구 대치동 1011-19,37.50336989677588,127.05102385252279,보도와 차도가 구분된 도로의 차도
64,서울특별시 광진구 중곡동 675,37.56125066209982,127.0817294558186,보도 중앙
65,서울특별시 중랑구 망우동 534-23,37.595165616339685,127.09791889642545,보도 중앙
66,서울특별시 강남구 대치동 890-59,37.504163042943745,127.05209314763295,보도와 차도가 구분된 도로의 차도
