,SIDO_NM,SGG_NM,ADMI_NM,code,FULL_NM,BASE_YM
0,서울특별시,종로구,청운효자동,11110515,서울특별시 종로구 청운효자동,202301
1,서울특별시,종로구,사직동,11110530,서울특별시 종로구 사직동,202301
2,서울특별시,종로구,삼청동,11110540,서울특별시 종로구 삼청동,202301
3,서울특별시,종로구,부암동,11110550,서울특별시 종로구 부암동,202301
4,서울특별시,종로구,평창동,11110560,서울특별시 종로구 평창동,202301
5,서울특별시,종로구,무악동,11110570,서울특별시 종로구 무악동,202301
6,서울특별시,종로구,교남동,11110580,서울특별시 종로구 교남동,202301
7,서울특별시,종로구,가회동,11110600,서울특별시 종로구 가회동,202301
8,서울특별시,종로구,종로1.2.3.4가동,11110615,서울특별시 종로구 종로1.2.3.4가동,202301
9,서울특별시,종로구,종로5.6가동,11110630,서울특별시 종로구 종로5.6가동,202301
10,서울특별시,종로구,이화동,11110640,서울특별시 종로구 이화동,202301
11,서울특별시,종로구,혜화동,11110650,서울특별시 종로구 혜화동,202301
12,서울특별시,종로구,창신1동,11110670,서울특별시 종로구 창신1동,202301
13,서울특별시,종로구,창신2동,11110680,서울특별시 종로구 창신2동,202301
14,서울특별시,종로구,창신3동,11110690,서울특별시 종로구 창신3동,202301
15,서울특별시,종로구,숭인1동,11110700,서울특별시 종로구 숭인1동,202301
16,서울특별시,종로구,숭인2동,11110710,서울특별시 종로구 숭인2동,202301
17,서울특별시,중구,소공동,11140520,서울특별시 중구 소공동,202301
18,서울특별시,중구,회현동,11140540,서울특별시 중구 회현동,202301
19,서울특별시,중구,명동,11140550,서울특별시 중구 명동,202301
20,서울특별시,중구,필동,11140570,서울특별시 중구 필동,202301
21,서울특별시,중구,장충동,11140580,서울특별시 중구 장충동,202301
22,서울특별시,중구,광희동,11140590,서울특별시 중구 광희동,202301
23,서울특별시,중구,을지로동,11140605,서울특별시 중구 을지로동,202301
24,서울특별시,중구,신당동,11140615,서울특별시 중구 신당동,202301
25,서울특별시,중구,다산동,11140625,서울특별시 중구 다산동,202301
