                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4989,                 2.2474,                 1.5876,                0.27563,                0.42299,                0.25607,                0.15385,                 1.5941,                 15.143,                  2.011,             0.00046699,             0.00046699,             0.00046699
                      2,                 1.6678,                 2.0747,                 1.7063,                0.01988,                0.32731,                0.01117,                0.00467,                 2.5205,                    inf,                 3.1029,             0.00092465,             0.00092465,             0.00092465
                      3,                  1.808,                 2.1798,                 1.7833,                0.02106,                0.17566,                0.01712,                0.00562,                  2.865,                 92.773,                 3.9636,              0.0013634,              0.0013634,              0.0013634
                      4,                 1.8395,                  2.197,                 1.8139,                0.15171,                0.32423,                0.10824,                0.04926,                 2.1244,                 12.459,                 3.0327,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.7387,                 2.1168,                 1.7664,                0.47007,                0.06069,                 0.0438,                0.02015,                 2.9823,                 3.8357,                 3.0114,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.6698,                 2.0622,                 1.7183,                0.48441,                0.37701,                0.34928,                0.20836,                 1.6917,                 2.5557,                   2.02,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.609,                 1.9554,                 1.6814,                0.43938,                0.38958,                0.36607,                0.20584,                 1.8107,                 2.2304,                  2.032,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.6215,                 1.9042,                 1.6396,                0.38048,                 0.3498,                0.30578,                0.16761,                  1.798,                 2.6107,                 1.9609,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.5398,                 1.8585,                 1.6558,                0.50617,                0.41575,                0.39553,                0.25164,                  1.624,                 2.1142,                 1.8679,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.5457,                 1.8595,                 1.6481,                  0.473,                0.41158,                0.37594,                0.23254,                 1.6063,                 2.3165,                 1.7987,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.4989,                 1.7804,                 1.5938,                0.48773,                0.39903,                 0.3817,                0.25645,                 1.5192,                 2.0761,                 1.7542,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.4687,                 1.7329,                 1.5686,                0.53162,                0.49087,                0.48013,                0.31938,                 1.4535,                 1.6386,                 1.7218,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.4513,                 1.7149,                 1.5706,                0.51143,                0.43565,                0.42035,                0.28171,                 1.5418,                 1.9341,                 1.7644,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.3734,                 1.6414,                 1.5082,                0.66468,                0.49115,                0.51083,                0.34817,                 1.4145,                 1.5881,                 1.6628,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.3833,                 1.6505,                 1.5182,                0.56538,                0.50206,                0.51329,                0.35705,                 1.3645,                 1.6745,                 1.5911,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.3576,                 1.6677,                 1.5263,                0.57848,                0.53305,                0.51039,                0.35511,                 1.3815,                 1.5744,                 1.6167,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.3758,                 1.6313,                 1.5123,                0.61425,                  0.516,                0.52422,                0.37209,                 1.3427,                 1.5026,                 1.5918,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.3236,                 1.5811,                 1.4968,                0.63481,                0.55475,                 0.5447,                 0.3899,                 1.2996,                  1.461,                 1.5927,               0.000948,               0.000948,               0.000948
                     19,                  1.317,                 1.5474,                 1.4908,                0.56853,                0.55606,                0.52876,                0.36628,                   1.38,                 1.5441,                 1.6215,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.2645,                  1.482,                 1.4536,                0.69464,                0.49716,                0.53846,                0.39338,                 1.2806,                 1.4077,                 1.5525,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.3104,                 1.4829,                  1.493,                0.67198,                 0.5062,                0.52666,                0.38616,                 1.2825,                 1.4373,                 1.5339,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.2542,                 1.4358,                 1.4246,                 0.6931,                0.53087,                0.55628,                0.40258,                 1.2961,                 1.3824,                 1.5483,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.2213,                  1.453,                 1.4262,                0.72618,                0.52574,                0.56232,                0.41691,                 1.2438,                 1.3251,                  1.521,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.2251,                 1.4333,                 1.4203,                0.65147,                 0.5748,                0.54664,                0.40497,                 1.2353,                 1.4062,                 1.5291,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.2244,                 1.4416,                  1.445,                0.74734,                0.55305,                 0.5792,                0.44043,                 1.1917,                  1.282,                 1.5173,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1785,                  1.338,                 1.4065,                0.67929,                0.57885,                0.57995,                0.43871,                  1.203,                 1.2647,                 1.4745,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.1789,                 1.3646,                 1.3852,                0.75585,                0.53982,                0.58245,                0.43465,                 1.1744,                 1.2659,                 1.4775,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1442,                 1.3568,                 1.3702,                0.74266,                 0.5561,                0.59035,                0.43971,                 1.1916,                 1.2446,                 1.4798,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.1659,                 1.3162,                 1.4037,                0.66918,                0.55733,                0.55794,                0.42693,                 1.1638,                 1.3231,                 1.4777,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1217,                 1.3125,                 1.3665,                0.73278,                0.54733,                0.58419,                 0.4376,                 1.1396,                 1.2561,                 1.4533,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.1428,                 1.3136,                 1.4027,                0.70107,                0.56956,                0.58308,                0.43844,                 1.1285,                 1.2507,                  1.441,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.1344,                 1.2689,                 1.3675,                0.73173,                0.57804,                0.59815,                0.45745,                 1.1187,                 1.2095,                 1.4238,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.0809,                 1.2475,                 1.3344,                0.76158,                0.57453,                0.60063,                 0.4573,                 1.1092,                  1.152,                 1.4444,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0968,                 1.2775,                 1.3604,                0.71876,                 0.5632,                0.57965,                0.43691,                 1.1321,                 1.2329,                 1.4584,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0909,                 1.2309,                  1.347,                0.77898,                0.59231,                0.61613,                 0.4763,                 1.0333,                 1.1061,                 1.3869,               0.000467,               0.000467,               0.000467
                     36,                 1.0555,                 1.2102,                 1.3265,                0.73048,                0.55148,                0.60035,                0.47274,                 1.0308,                 1.1567,                  1.373,              0.0004387,              0.0004387,              0.0004387
                     37,                  1.029,                 1.1666,                 1.3125,                0.72792,                 0.5935,                0.60629,                0.47686,                 1.0454,                 1.1448,                 1.4118,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0274,                 1.1496,                 1.3019,                0.72384,                0.60018,                0.61092,                0.47984,                 1.0446,                 1.1252,                 1.3883,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0418,                 1.1701,                 1.3229,                0.78121,                0.57447,                0.62201,                0.47854,                 1.0413,                 1.0876,                 1.3924,             0.00035382,             0.00035382,             0.00035382
                     40,                0.99722,                 1.1421,                 1.2937,                0.79146,                0.57767,                0.62323,                 0.4847,                 1.0287,                 1.0766,                 1.3711,             0.00032553,             0.00032553,             0.00032553
                     41,                 0.9381,                 1.0503,                 1.3014,                0.74362,                0.58708,                0.61435,                0.48653,                 1.0673,                 1.1106,                 1.4058,             0.00029723,             0.00029723,             0.00029723
                     42,                0.88466,                0.97679,                 1.2741,                0.77359,                0.58727,                0.60681,                0.48354,                 1.0145,                 1.0925,                 1.3786,             0.00026894,             0.00026894,             0.00026894
                     43,                0.87738,                0.94912,                 1.2663,                0.75075,                 0.5975,                0.61518,                0.48845,                 1.0032,                 1.0417,                 1.3645,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.8538,                0.92488,                 1.2639,                0.78771,                0.57636,                0.61605,                0.49691,                0.99012,                 1.0414,                 1.3622,             0.00021235,             0.00021235,             0.00021235
                     45,                0.85319,                0.91084,                 1.2646,                0.74109,                0.60416,                0.62292,                0.49831,                0.98599,                  1.033,                 1.3637,             0.00018406,             0.00018406,             0.00018406
                     46,                0.82015,                0.88067,                 1.2292,                0.73253,                0.60219,                0.62041,                0.50158,                0.97463,                 1.0344,                 1.3503,             0.00015576,             0.00015576,             0.00015576
                     47,                0.80407,                 0.8556,                 1.2184,                0.76434,                0.60815,                0.62853,                0.51481,                0.95401,                 0.9913,                 1.3404,             0.00012747,             0.00012747,             0.00012747
